Name,Value
Schedule,Mouse PAL Habituation 2 v2
Environment,Chamber1 [1]
Date/Time,28/01/2018 11:12:28
Database,Fmr1_PAL_2018
SessionId,9
Index,6
Version,N/A
MachineName,CI24689-2
SGuid,
Animal ID,341-blue
Application_Version,ABET II Touch 2.20.6316.18149
Max_Number_Trials,0
Max_Schedule_Time,1200
Schedule_Start_Time,2018-01-28T11:12:36.827

----------
Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
175.273,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
176.241,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
177.214,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
177.269,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
179.647,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
181.329,38,Input Transition On Event,BIRBeam #1,,3,0,,,,,,,,,,
181.851,38,Input Transition On Event,Tray #1,,3,0,,,,,,,,,,
181.851,1,Condition Event,Note Tray Entry,,3,0,,,,,,,,,,
181.851,4,Output Off Event,TrayLight #1,,3,0,,,,,,,,,,
181.851,16,Variable Event,Delay_Time,,3,1,Value,10,,,,,,,,
181.851,21,Group Change Event,Group Change,,3,1,New Group,4,,,,,,,,
182.028,39,Input Transition Off Event,Tray #1,,4,0,,,,,,,,,,
182.028,1,Condition Event,Start Delay,,4,0,,,,,,,,,,
182.028,29,Timer Event,Delay_Timer,,4,1,Value,0,,,,,,,,
182.028,16,Variable Event,_Trial_Counter,,4,1,Value,5,,,,,,,,
182.028,21,Group Change Event,Group Change,,4,1,New Group,5,,,,,,,,
182.64,39,Input Transition Off Event,BIRBeam #1,,5,0,,,,,,,,,,
186.133,38,Input Transition On Event,FIRBeam #1,,5,0,,,,,,,,,,
190.993,39,Input Transition Off Event,FIRBeam #1,,5,0,,,,,,,,,,
192.028,1,Condition Event,Feed again,,5,0,,,,,,,,,,
